fecha_pago;fecha_vencimiento;monto_pago;monto_total;agencia;num_operacion_bcp;hora_atencion;cargo_fijo;num_documento_pago;num_operacion_bd;filler;fechaProceso
20240321;20240323;60726;60926;111017;942859;194229;200;113020841;11942859;262274;20240402
20240321;20240321;58877;59077;111017;831517;140121;200;108004398;7831517;67710;20240402
20240321;20240322;59601;59801;111017;710;100036;200;114020687;7000710;921342;20240402
20240321;20240320;57372;57572;111023;473138;70502;200;209001012;6473138;116955;20240402
20240321;20240322;53408;53608;111023;459729;120547;200;115015433;7459729;402437;20240402
20240321;20240321;146971;147171;111023;954675;194601;200;307001727;11954675;2705176;20240402
20240321;20240210;38462;38662;111023;634185;125755;200;124000785;7634185;1246790;20240402
20240321;20240321;49174;49374;111017;101589;102551;200;109014784;7101589;941448;20240402
20240321;20240320;22534;22734;111023;414366;115223;200;125001643;7414366;376221;20240402
20240321;20240316;128985;129185;111023;95070;203317;200;106003903;12095070;2870560;20240402
20240321;20240322;31762;31962;111017;816971;190245;200;205001516;11816971;245039;20240402
20240321;20240325;93161;93361;111017;996135;95927;200;124002505;6996135;920444;20240402
20240321;20240322;30442;30642;111023;796626;90714;200;114019353;6796626;404900;20240402
20240321;20240321;35111;35311;111017;312136;112253;200;210000765;7312136;984053;20240402
20240321;20240321;36322;36522;111023;750145;133445;200;112016218;7750145;1378423;20240402
20240321;20240321;22225;22425;111023;843503;191125;200;108005353;11843503;888666;20240402
20240321;20240320;38871;39071;111023;497888;172554;200;307002158;8497888;774010;20240402
20240321;20240323;39021;39221;111023;699138;83803;200;115015514;6699138;127212;20240402
20240321;20240319;54825;55025;111023;973893;144912;200;109014747;7973893;566735;20240402
20240321;20240322;25816;26016;111023;360107;54038;200;204002975;6360107;4831;20240402
20240321;20240321;229721;229921;191010;527712;173451;200;117003104;8527712;699295;20240402
20240321;20240403;82171;82371;111017;169812;104315;200;303000520;7169812;954711;20240402
20240321;20240322;22014;22214;111023;745040;184024;200;306004769;8745040;842665;20240402
20240321;20240316;24626;24826;111023;229873;126;200;108004724;6229873;1091808;20240402
20240321;20240321;169370;169570;111023;400187;170022;200;116003999;8400187;734236;20240402
20240321;20240321;44146;44346;111023;714043;84244;200;112015107;6714043;343095;20240402
20240321;20240318;45533;45733;111023;31373;213326;200;109016713;9031373;3046424;20240402
20240321;20240402;38964;39164;111023;104730;153145;200;110019911;8104730;640083;20240402
20240321;20240322;42591;42791;111023;383187;114322;200;105023618;7383187;357721;20240402
20240321;20240322;73549;73749;111023;864709;141225;200;112015806;7864709;537427;20240402
20240321;20240318;240081;240281;111023;990177;195700;200;205000071;11990177;2776183;20240402
20240321;20240325;228016;228216;194019;146460;154451;200;124001202;8146460;479393;20240402
20240321;20240325;30797;30997;111023;631374;81514;200;111015201;6631374;242361;20240402
20240321;20240323;33689;33889;111023;803674;90908;200;103023793;6803674;168433;20240402
20240321;20240323;42379;42579;111023;706198;132017;200;121015898;7706198;1344871;20240402
20240321;20240322;39446;39646;111023;740772;85100;200;110021413;6740772;142618;20240402
20240321;20240320;227600;227800;111023;355031;164736;200;124000657;8355031;2053359;20240402
20240321;20240306;76324;76524;111017;885282;192519;200;108003509;11885282;255634;20240402
20240321;20240325;45271;45471;111023;112733;204020;200;112016916;12112733;2887444;20240402
20240321;20240321;29438;29638;111017;624921;125504;200;115015881;7624921;40269;20240402
20240321;20240323;24028;24228;111023;99580;221854;200;303002780;9099580;1049863;20240402
20240321;20240325;25918;26118;111017;470180;120855;200;304005591;7470180;14221;20240402
