infa;infb;infc;infd;infe;inff;infg;infg;infi;infj;infk;infl;infm;infn;info;infp;infq;infr;infs;inft;infu;infv;infw;infx;infy;infz;data1;data2;data3;data4
20240130;103001577;CREDIND;7;1;20220815;2;3128.57;REG;;1582.87;543.34;0;0;0;0;0;1545.7;0;0;0;543.34;0;0;0;0;0;0;19000101;20231221
20240130;103001577;CREDIND;7;2;20220914;2;3281.54;REG;;1707.15;419.06;0;0;0;0;0;1574.39;0;0;0;419.06;0;0;0;0;0;0;19000101;20231221
20240130;103001577;CREDIND;7;3;20221014;2;3369.18;REG;;1803.55;322.66;0;0;0;0;0;1565.63;0;0;0;322.66;0;0;0;0;0;0;19000101;20231221
20240130;103001577;CREDIND;7;4;20221114;2;3435.98;REG;;1897.82;228.39;0;0;0;0;0;1538.16;0;0;0;228.39;0;0;0;0;0;0;19000101;20231221
20240130;103001577;CREDIND;7;5;20221214;2;3532.89;REG;;2012.61;113.65;0;0;0;0;0;1520.28;0;0;0;113.65;0;0;0;0;0;0;19000101;20231221
20240130;105000567;CREDIND;7;1;20220815;3;0;REG;;795.55;186.96;0;0;33.65;0;0;3.5;0;0;795.55;186.96;0;0;33.65;0;0;3.5;20220715;20220715
20240130;105000567;CREDIND;7;2;20220915;3;0;REG;;851.7;144.46;0;0;26;0;0;3.5;0;0;851.7;144.46;0;0;26;0;0;3.5;20220723;20220723
20240130;105000567;CREDIND;7;3;20221015;2;1706.24;REG;;899.95;95.69;0;0;0.38;0;0;716.22;93.57;0;0;2.12;0;0;0.38;0;0;3.5;19000101;20220725
20240130;105000567;CREDIND;7;4;20221115;2;1712.79;REG;;952.8;50.89;0;0;0;0;0;709.1;50.89;0;0;0;0;0;0;0;0;0;19000101;
20240130;105000570;CREDIND;7;1;20220715;3;0;REG;;665.94;184.16;0;0;33.15;0;0;4.67;0;0;665.94;184.16;0;0;33.15;0;0;4.67;20220716;20220716
20240130;105000570;CREDIND;7;2;20220815;2;1545.54;REG;;729.51;130.29;0;0;0;0;0;685.74;130.29;0;0;0;0;0;0;0;0;0;19000101;20220723
20240130;105000570;CREDIND;7;3;20220915;2;1553.35;REG;;777.56;89.57;0;0;0;0;0;686.22;89.57;0;0;0;0;0;0;0;0;0;19000101;20220723
20240130;105000570;CREDIND;7;4;20221017;2;1559.68;REG;;826.99;47.69;0;0;0;0;0;685;47.69;0;0;0;0;0;0;0;0;0;19000101;20220725
20240130;105000571;CREDIND;7;1;20220712;2;1217.21;REG;;524.61;167.46;0;0;0;0;0;525.14;167.46;0;0;0;0;0;0;0;0;0;19000101;20220715
20240130;105000571;CREDIND;7;2;20220811;2;1233.29;REG;;564.56;133.6;0;0;0;0;0;535.13;133.6;0;0;0;0;0;0;0;0;0;19000101;20220715
20240130;105000571;CREDIND;7;3;20220912;2;1231.07;REG;;592.17;110.2;0;0;0;0;0;528.7;110.2;0;0;0;0;0;0;0;0;0;19000101;20220723
20240130;105000571;CREDIND;7;4;20221011;2;1246.46;REG;;641.1;68.74;0;0;0;0;0;536.62;68.74;0;0;0;0;0;0;0;0;0;19000101;20220725
20240130;105000571;CREDIND;7;5;20221111;2;1248.43;REG;;677.56;37.82;0;0;0;0;0;533.05;37.82;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001620;CREDIND;7;1;20221119;3;0;REG;;35.54;117.77;0;0;21.2;0;0;3.5;0;0;35.54;117.77;0;0;21.2;0;0;3.5;20220716;20220716
20240130;103001620;CREDIND;7;2;20221219;2;264.76;REG;;146.2;23.99;0;0;4.32;0;0;105.25;14.24;2.57;0;9.75;0;0;1.75;0;0;3.5;19000101;20220722
20240130;103001620;CREDIND;7;3;20230119;2;275.77;REG;;154.45;17;0;0;3.06;0;0;101.26;17;3.06;0;0;0;0;0;0;0;0;19000101;
20240130;103001620;CREDIND;7;4;20230220;2;274.27;REG;;163.81;9.04;0;0;1.63;0;0;99.79;9.04;1.63;0;0;0;0;0;0;0;0;19000101;
20240130;103001622;CREDIND;7;1;20221119;3;0;REG;;35.54;117.77;0;0;21.2;0;0;3.5;0;0;35.54;117.77;0;0;21.2;0;0;3.5;20220718;20220718
20240130;103001622;CREDIND;7;2;20221219;3;0;REG;;146.2;23.99;0;0;4.32;0;0;3.5;0;0;146.2;23.99;0;0;4.32;0;0;3.5;20220718;20220718
20240130;103001622;CREDIND;7;3;20230119;2;257.77;REG;;154.45;17;0;0;2.06;0;0;101.26;5.56;0;0;11.44;0;0;2.06;0;0;3.5;19000101;20220722
20240130;103001622;CREDIND;7;4;20230220;2;272.64;REG;;163.81;9.04;0;0;0;0;0;99.79;9.04;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001623;CREDIND;7;1;20221119;3;0;REG;;35.54;117.77;0;0;21.2;0;0;3.5;0;0;35.54;117.77;0;0;21.2;0;0;3.5;20220718;20220718
20240130;103001623;CREDIND;7;2;20221219;3;0;REG;;146.2;23.99;0;0;4.32;0;0;3.5;0;0;146.2;23.99;0;0;4.32;0;0;3.5;20220718;20220718
20240130;103001623;CREDIND;7;3;20230119;2;257.77;REG;;154.45;17;0;0;3.06;0;0;101.26;4.71;0.85;0;12.29;0;0;2.21;0;0;3.5;19000101;20220722
20240130;103001623;CREDIND;7;4;20230220;2;274.27;REG;;163.81;9.04;0;0;1.63;0;0;99.79;9.04;1.63;0;0;0;0;0;0;0;0;19000101;
20240130;103001624;CREDIND;7;1;20221119;3;0;REG;;35.54;117.77;0;0;21.2;0;0;3.5;0;0;35.54;117.77;0;0;21.2;0;0;3.5;20220718;20220718
20240130;103001624;CREDIND;7;2;20221219;3;0;REG;;146.2;23.99;0;0;4.32;0;0;3.5;0;0;146.2;23.99;0;0;4.32;0;0;3.5;20220718;20220718
20240130;103001624;CREDIND;7;3;20230119;2;256.07;REG;;154.45;17;0;0;2.36;0;0;101.26;3.86;0;0;13.14;0;0;2.36;0;0;3.5;19000101;20220722
20240130;103001624;CREDIND;7;4;20230220;2;272.64;REG;;163.81;9.04;0;0;0;0;0;99.79;9.04;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001625;CREDIND;7;1;20221119;3;0;REG;;35.54;117.77;0;0;21.2;0;0;3.5;0;0;35.54;117.77;0;0;21.2;0;0;3.5;20220718;20220718
20240130;103001625;CREDIND;7;2;20221219;3;0;REG;;146.2;23.99;0;0;4.32;0;0;3.5;0;0;146.2;23.99;0;0;4.32;0;0;3.5;20220718;20220718
20240130;103001625;CREDIND;7;3;20230119;2;255.23;REG;;154.45;17;0;0;2.52;0;0;101.26;3.02;0;0;13.98;0;0;2.52;0;0;3.5;19000101;20220722
20240130;103001625;CREDIND;7;4;20230220;2;272.64;REG;;163.81;9.04;0;0;0;0;0;99.79;9.04;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001655;CREDIND;7;1;20221107;3;0;REG;;0;424.74;0;0;76.45;0;0;3.5;0;0;0;424.74;0;0;76.45;0;0;3.5;20220718;20220718
20240130;103001655;CREDIND;7;2;20221206;3;0;REG;;382.69;100.42;0;0;18.08;0;0;3.5;0;0;382.69;100.42;0;0;18.08;0;0;3.5;20220718;20220718
20240130;103001655;CREDIND;7;3;20220922;3;0;REG;;156.78;84.07;0;0;15.65;0;0;3.5;0;0;156.78;84.07;0;0;15.65;0;0;3.5;19000101;20220805
20240130;103001655;CREDIND;7;4;20230316;2;505.86;REG;;0;502.36;0;0;0;0;0;3.5;502.36;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001655;CREDIND;7;5;20230417;2;777.87;REG;;465.65;81.12;0;0;0;0;0;231.1;81.12;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001655;CREDIND;7;6;20230516;2;776.19;REG;;502.43;49.95;0;0;0;0;0;223.81;49.95;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001655;CREDIND;7;7;20230616;2;711.86;REG;;492.45;26.48;0;0;0;0;0;192.93;26.48;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001721;INDNEGOCIO;7;1;20220616;1;0;REG;;437.59;132.36;0;0;0;0;0;54.59;0;0;437.59;132.36;0;0;0;0;0;54.59;20220816;20220816
20240130;103001721;INDNEGOCIO;7;2;20220716;3;0;REG;;498.51;71.44;0;0;0;0;0;37.92;0;0;498.51;71.44;0;0;0;0;0;37.92;20220816;20220816
20240130;103001721;INDNEGOCIO;7;3;20220816;3;0;REG;;519.65;50.3;0;0;0;0;0;13.5;0;0;519.65;50.3;0;0;0;0;0;13.5;20220816;20220816
20240130;103001721;INDNEGOCIO;7;4;20220916;2;989.29;REG;;544.25;25.73;0;0;0;0;0;419.31;25.73;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001730;CREDIND;7;1;20220816;3;0;REG;;425.46;161.29;0;0;29.03;0;0;13.5;0;0;425.46;161.29;0;0;29.03;0;0;13.5;20220718;20220718
20240130;103001730;CREDIND;7;2;20220916;3;0;REG;;452.46;138.41;0;0;24.91;0;0;13.5;0;0;452.46;138.41;0;0;24.91;0;0;13.5;20220718;20220718
20240130;103001730;CREDIND;7;3;20220922;3;0;REG;;110.87;114.09;0;0;20.54;0;0;13.5;0;0;110.87;114.09;0;0;20.54;0;0;13.5;19000101;20220725
20240130;103001730;CREDIND;7;4;20221216;2;803.85;REG;;283;310.55;0;0;0;0;0;210.3;310.55;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001730;CREDIND;7;5;20230116;2;991.12;REG;;539.82;92.91;0;0;0;0;0;358.39;92.91;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001730;CREDIND;7;6;20230216;2;989.15;REG;;574.06;63.89;0;0;0;0;0;351.2;63.89;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001730;CREDIND;7;7;20230316;2;990.58;REG;;614.33;29.76;0;0;0;0;0;346.49;29.76;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001738;CREDIND;7;1;20220620;3;0;REG;;436.33;106.06;0;0;0;0;0;21.99;0;0;436.33;106.06;0;0;0;0;0;21.99;20220701;20220718
20240130;103001738;CREDIND;7;2;20220720;2;1008.68;REG;;463.39;79;0;0;0;0;0;466.29;79;0;0;0;0;0;0;0;0;0;19000101;20220718
20240130;103001738;CREDIND;7;3;20220820;2;1004.69;REG;;486.55;55.84;0;0;0;0;0;462.3;55.84;0;0;0;0;0;0;0;0;0;19000101;20220725
20240130;103001738;CREDIND;7;4;20220920;2;1003.21;REG;;513.73;28.68;0;0;0;0;0;460.8;28.68;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001806;CREDIND;7;1;20220816;3;0;REG;;276.74;64.51;0;0;0;0;0;13.5;0;0;276.74;64.51;0;0;0;0;0;13.5;20220718;20220718
20240130;103001806;CREDIND;7;2;20220916;3;0;REG;;291.61;49.64;0;0;0;0;0;13.5;0;0;291.61;49.64;0;0;0;0;0;13.5;20220718;20220718
20240130;103001806;CREDIND;7;3;20221017;2;87.35;REG;;307.29;33.96;0;0;0;0;0;51.1;0;0;257.54;33.96;0;0;0;0;0;13.5;19000101;20220725
20240130;103001806;CREDIND;7;4;20221116;2;596.72;REG;;324.36;16.86;0;0;0;0;0;255.5;16.86;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001835;INDNEGOCIO;7;1;20220801;3;0;REG;;301.38;54.38;0;0;9.79;0;0;32.3;0;0;301.38;54.38;0;0;9.79;0;0;32.3;20220823;20220823
20240130;103001835;INDNEGOCIO;7;2;20220901;3;0;REG;;377.11;41.76;0;0;7.52;0;0;23.5;0;0;377.11;41.76;0;0;7.52;0;0;23.5;20220901;20220901
20240130;103001835;INDNEGOCIO;7;3;20221001;2;546.29;REG;;303.27;25.12;0;0;0;0;0;217.9;25.12;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001835;INDNEGOCIO;7;4;20221101;2;545.12;REG;;317.24;13.28;0;0;0;0;0;214.6;13.28;0;0;0;0;0;0;0;0;0;19000101;
20240130;103001851;CREDIND;7;1;20220818;3;0;REG;;227.31;53.76;0;0;9.68;0;0;13.5;0;0;227.31;53.76;0;0;9.68;0;0;13.5;20220718;20220718
20240130;103001851;CREDIND;7;2;20220919;3;0;REG;;240.1;42.92;0;0;7.73;0;0;13.5;0;0;240.1;42.92;0;0;7.73;0;0;13.5;20220718;20220718
20240130;103001851;CREDIND;7;3;20221018;2;435.54;REG;;259.2;26.74;0;0;4.81;0;0;205.79;0;0;15.95;26.74;0;0;4.81;0;0;13.5;19000101;20220725
20240130;103001851;CREDIND;7;4;20221118;2;503.07;REG;;273.39;14.7;0;0;0;0;0;214.98;14.7;0;0;0;0;0;0;0;0;0;19000101;
